,smurf,description
0,Smurfette,"Smurfette is the main protagonist and a female Smurf who was created by Gargamel. She originally had black hair, though when Papa Smurf made her into a Smurf, her hair became blonde."
1,Papa Smurf,"Papa Smurf is the leader and elder of the Smurfs and can be easily distinguished by his red clothes, bushy white moustache and beard. The Smurfs turn to Papa Smurf when things go wrong."
2,Clumsy Smurf,"Clumsy Smurf is a somewhat dimwitted yet amiable Smurf. In some dangerous situations he is also revealed to be quite brave too. Despite his clumsiness, he finds himself always wanting to help others and usually looks on the bright side of things."
3,Brainy Smurf,"Brainy Smurf considers himself the most intelligent Smurf in the village and an expert on everything, although his actual knowledge is questionable at best; often, his attempts to help in a given situation lead to even more problems."
4,Grouchy Smurf,"Grouchy Smurf is the misanthropic grouch of the Smurf village. His catchphrase is ""I hate (something somebody else mentions)"" yet it is shown during the show that he is a good observer and notices kindness in others even if he is not playing active role in an event."
5,Hefty Smurf,Hefty Smurf has incredible strength and often is seen doing a lot of the heavy work in the village. He also has a tattoo on his right arm (or sometimes both of his arms) of a red heart with an arrow through it.
6,Greedy Smurf,Greedy is an exceptionally gluttonous Smurf. He has an exceptional interest in eating cakes and other pastry. Greedy usually cannot seem to help himself and he is often chased by Chef Smurf for stealing snacks and food. 
7,Jokey Smurf,Jokey is the village prankster.
8,Handy Smurf,"Handy Smurf (depicted as wearing overalls, a visor attached to the front of his cap, and with a pencil above his ear) is the handyman of the Smurfs. He helps fix things in the village and is known for his amazing technological inventions."
